12772 0.0  AUX --> do
1 0.0  CD --> 9
1 0.0  CD --> billion
1 0.0  CD --> eighteenth
1 0.0  CD --> eleventh
1 0.0  CD --> fiftythree
1 0.0  CD --> nineteenth
1 0.0  CD --> ninetwenty
1 0.0  CD --> ninetwentyfive
1 0.0  CD --> ninth
1 0.0  CD --> oh
1 0.0  CD --> ohfive
1 0.0  CD --> ol
1 0.0  CD --> onethirtyfive
1 0.0  CD --> second
1 0.0  CD --> seventh
1 0.0  CD --> sl
1 0.0  CD --> tenofive
1 0.0  CD --> tenthirtyfive
1 0.0  CD --> thirteenth
1 0.0  CD --> thirtythree
1 0.0  CD --> triple
1 0.0  CD --> twelvethirtyfive
1 0.0  CD --> twentieth
1 0.0  CD --> twos
1355 0.0  COMP --> if
1042 0.0  COMP --> because
436 0.0  COMP --> that
330 0.0  COMP --> so
147 0.0  COMP --> like
129 0.0  COMP --> while
125 0.0  COMP --> before
102 0.0  COMP --> after
89 0.0  COMP --> until
80 0.0  COMP --> for
70 0.0  COMP --> cause
63 0.0  COMP --> as
35 0.0  COMP --> than
34 0.0  COMP --> whether
33 0.0  COMP --> since
25 0.0  COMP --> untill
20 0.0  COMP --> till
20 0.0  COMP --> unless
16 0.0  COMP --> except
14 0.0  COMP --> 'll
13 0.0  COMP --> once
10 0.0  COMP --> though
6 0.0  COMP --> long
3 0.0  COMP --> although
3 0.0  COMP --> instead
3 0.0  COMP --> til
3 0.0  COMP --> with
2 0.0  COMP --> about
2 0.0  COMP --> besides
2 0.0  COMP --> but
2 0.0  COMP --> of
2 0.0  COMP --> soon
1 0.0  COMP --> [be]cause
1 0.0  COMP --> by
1 0.0  COMP --> cuz
1 0.0  COMP --> even
1 0.0  COMP --> from
1 0.0  COMP --> just
1 0.0  COMP --> other
1 0.0  COMP --> so_that
1 0.0  COMP --> then
1 0.0  COMP --> well
1 0.0  COMP --> when
1 0.0  COMP --> without
19917 0.0  COP --> 's
9612 0.0  COP --> is
3561 0.0  COP --> are
2373 0.0  COP --> was
2334 0.0  COP --> 're
2010 0.0  COP --> be
723 0.0  COP --> were
714 0.0  COP --> 'm
120 0.0  COP --> been
103 0.0  COP --> am
84 0.0  COP --> being
42 0.0  COP --> have
11 0.0  COP --> ai
11 0.0  COP --> s
10 0.0  COP --> has
7 0.0  COP --> had
4 0.0  COP --> need
4 0.0  COP --> r
3 0.0  COP --> 've
2 0.0  COP --> 0are
1 0.0  COP --> 'd
1 0.0  COP --> 0is
1 0.0  COP --> as
1 0.0  COP --> because
1 0.0  COP --> se
1 0.0  COP --> this
26615 0.0  DT --> the
18437 0.0  DT --> a
3069 0.0  DT --> that
2694 0.0  DT --> this
2003 0.0  DT --> some
1306 0.0  DT --> all
953 0.0  DT --> an
747 0.0  DT --> another
718 0.0  DT --> any
593 0.0  DT --> those
524 0.0  DT --> no
511 0.0  DT --> these
126 0.0  DT --> every
110 0.0  DT --> both
73 0.0  DT --> each
66 0.0  DT --> there
40 0.0  DT --> such
19 0.0  DT --> here
15 0.0  DT --> either
9 0.0  DT --> de
6 0.0  DT --> them
5 0.0  DT --> none
5 0.0  DT --> one
4 0.0  DT --> neither
3 0.0  DT --> dat
3 0.0  DT --> dis
3 0.0  DT --> other
2 0.0  DT --> 'll
2 0.0  DT --> and
2 0.0  DT --> anymore
2 0.0  DT --> dose
2 0.0  DT --> good
2 0.0  DT --> half
2 0.0  DT --> ta
2 0.0  DT --> which
1 0.0  DT --> 0a
1 0.0  DT --> ail
1 0.0  DT --> anonother
1 0.0  DT --> da
1 0.0  DT --> enough
1 0.0  DT --> few
1 0.0  DT --> four
1 0.0  DT --> her
1 0.0  DT --> s'
1 0.0  DT --> their
1869 0.0  EX --> there
323 0.0  EX --> here
143 0.0  EX --> it
3 0.0  EX --> well
2 0.0  EX --> ere
1 0.0  EX --> right
1 0.0  EX --> theirs
1 0.0  EX --> this
2 0.0  FW --> me
2 0.0  FW --> outenb
2 0.0  FW --> sieb
1 0.0  FW --> 6
1 0.0  FW --> grandma
8033 0.0  IN --> in
6446 0.0  IN --> on
5011 0.0  IN --> of
4234 0.0  IN --> to
4095 0.0  IN --> with
4021 0.0  IN --> for
3108 0.0  IN --> at
1991 0.0  IN --> like
1515 0.0  IN --> about
812 0.0  IN --> from
774 0.0  IN --> out
510 0.0  IN --> over
465 0.0  IN --> up
427 0.0  IN --> by
333 0.0  IN --> if
321 0.0  IN --> because
306 0.0  IN --> off
282 0.0  IN --> down
249 0.0  IN --> under
222 0.0  IN --> after
221 0.0  IN --> into
195 0.0  IN --> than
193 0.0  IN --> through
191 0.0  IN --> inside
186 0.0  IN --> around
152 0.0  IN --> as
144 0.0  IN --> so
123 0.0  IN --> behind
118 0.0  IN --> before
93 0.0  IN --> a
78 0.0  IN --> until
76 0.0  IN --> o'
69 0.0  IN --> near
63 0.0  IN --> without
42 0.0  IN --> underneath
38 0.0  IN --> while
37 0.0  IN --> across
31 0.0  IN --> besides
31 0.0  IN --> next
30 0.0  IN --> beside
28 0.0  IN --> between
28 0.0  IN --> except
25 0.0  IN --> outside
22 0.0  IN --> onto
21 0.0  IN --> since
20 0.0  IN --> against
19 0.0  IN --> along
19 0.0  IN --> cause
17 0.0  IN --> untill
15 0.0  IN --> past
15 0.0  IN --> till
13 0.0  IN --> toward
11 0.0  IN --> back
9 0.0  IN --> during
9 0.0  IN --> towards
8 0.0  IN --> above
7 0.0  IN --> away
7 0.0  IN --> unless
6 0.0  IN --> instead
5 0.0  IN --> though
4 0.0  IN --> although
4 0.0  IN --> til
3 0.0  IN --> it
3 0.0  IN --> mon
3 0.0  IN --> upon
3 0.0  IN --> within
2 0.0  IN --> but
2 0.0  IN --> na
2 0.0  IN --> once
2 0.0  IN --> order
2 0.0  IN --> per
2 0.0  IN --> round
2 0.0  IN --> ta
2 0.0  IN --> then
2 0.0  IN --> top
2 0.0  IN --> upstairs
2 0.0  IN --> whether
2 0.0  IN --> which
1 0.0  IN --> 'll
1 0.0  IN --> 's
1 0.0  IN --> abouta
1 0.0  IN --> ago
1 0.0  IN --> aroun
1 0.0  IN --> beneath
1 0.0  IN --> beyond
1 0.0  IN --> ere
1 0.0  IN --> here
1 0.0  IN --> minus
1 0.0  IN --> o
1 0.0  IN --> otherwise
1 0.0  IN --> straight
1 0.0  IN --> that
1 0.0  IN --> too
1 0.0  IN --> uh
1 0.0  IN --> when
1 0.0  IN --> wit
2692 0.0  JJ --> little
2256 0.0  JJ --> good
1823 0.0  JJ --> right
1797 0.0  JJ --> big
1083 0.0  JJ --> other
1041 0.0  JJ --> nice
968 0.0  JJ --> alright
793 0.0  JJ --> okay
545 0.0  JJ --> many
528 0.0  JJ --> funny
521 0.0  JJ --> new
449 0.0  JJ --> red
442 0.0  JJ --> ok
436 0.0  JJ --> last
418 0.0  JJ --> pretty
373 0.0  JJ --> careful
353 0.0  JJ --> sure
348 0.0  JJ --> hot
342 0.0  JJ --> hard
324 0.0  JJ --> long
305 0.0  JJ --> ready
304 0.0  JJ --> blue
288 0.0  JJ --> old
273 0.0  JJ --> cold
263 0.0  JJ --> poor
260 0.0  JJ --> silly
244 0.0  JJ --> green
235 0.0  JJ --> tired
226 0.0  JJ --> next
224 0.0  JJ --> much
222 0.0  JJ --> bad
210 0.0  JJ --> dirty
207 0.0  JJ --> cute
207 0.0  JJ --> yellow
204 0.0  JJ --> different
199 0.0  JJ --> done
197 0.0  JJ --> same
184 0.0  JJ --> black
180 0.0  JJ --> happy
179 0.0  JJ --> sorry
179 0.0  JJ --> whole
171 0.0  JJ --> enough
171 0.0  JJ --> great
167 0.0  JJ --> hungry
167 0.0  JJ --> wrong
159 0.0  JJ --> white
148 0.0  JJ --> just
146 0.0  JJ --> beautiful
142 0.0  JJ --> wet
135 0.0  JJ --> yummy
131 0.0  JJ --> real
129 0.0  JJ --> easy
123 0.0  JJ --> small
121 0.0  JJ --> favorite
120 0.0  JJ --> pink
119 0.0  JJ --> fun
110 0.0  JJ --> fine
108 0.0  JJ --> brown
108 0.0  JJ --> full
107 0.0  JJ --> first
106 0.0  JJ --> clean
105 0.0  JJ --> sick
103 0.0  JJ --> own
101 0.0  JJ --> gone
101 0.0  JJ --> on
101 0.0  JJ --> orange
101 0.0  JJ --> sad
100 0.0  JJ --> awful
100 0.0  JJ --> soft
98 0.0  JJ --> baby
92 0.0  JJ --> quiet
91 0.0  JJ --> crazy
90 0.0  JJ --> heavy
89 0.0  JJ --> few
89 0.0  JJ --> special
86 0.0  JJ --> tiny
83 0.0  JJ --> open
82 0.0  JJ --> able
82 0.0  JJ --> afraid
82 0.0  JJ --> purple
79 0.0  JJ --> busy
76 0.0  JJ --> sleepy
74 0.0  JJ --> warm
71 0.0  JJ --> only
70 0.0  JJ --> high
69 0.0  JJ --> all
68 0.0  JJ --> mad
68 0.0  JJ --> strong
67 0.0  JJ --> finished
66 0.0  JJ --> tall
64 0.0  JJ --> back
61 0.0  JJ --> welcome
56 0.0  JJ --> dark
56 0.0  JJ --> scared
54 0.0  JJ --> delicious
52 0.0  JJ --> dry
52 0.0  JJ --> sweet
51 0.0  JJ --> stuck
50 0.0  JJ --> asleep
50 0.0  JJ --> sticky
49 0.0  JJ --> glad
48 0.0  JJ --> fat
47 0.0  JJ --> fresh
46 0.0  JJ --> interesting
46 0.0  JJ --> round
46 0.0  JJ --> straight
45 0.0  JJ --> broken
44 0.0  JJ --> gentle
44 0.0  JJ --> sharp
44 0.0  JJ --> short
42 0.0  JJ --> smart
41 0.0  JJ --> angry
41 0.0  JJ --> fast
41 0.0  JJ --> noisy
41 0.0  JJ --> squeaky
41 0.0  JJ --> thirsty
40 0.0  JJ --> naughty
39 0.0  JJ --> light
38 0.0  JJ --> left
37 0.0  JJ --> interested
37 0.0  JJ --> out
36 0.0  JJ --> cool
36 0.0  JJ --> late
35 0.0  JJ --> excited
35 0.0  JJ --> terrible
34 0.0  JJ --> close
34 0.0  JJ --> loud
34 0.0  JJ --> second
34 0.0  JJ --> tricky
32 0.0  JJ --> true
31 0.0  JJ --> flat
28 0.0  JJ --> pretend
28 0.0  JJ --> wonderful
28 0.0  JJ --> yucky
27 0.0  JJ --> excellent
27 0.0  JJ --> lucky
27 0.0  JJ --> tight
26 0.0  JJ --> alone
26 0.0  JJ --> off
26 0.0  JJ --> quick
26 0.0  JJ --> some
26 0.0  JJ --> such
25 0.0  JJ --> empty
25 0.0  JJ --> magic
24 0.0  JJ --> closed
24 0.0  JJ --> up
23 0.0  JJ --> chinese
22 0.0  JJ --> crooked
22 0.0  JJ --> dangerous
22 0.0  JJ --> hurt
22 0.0  JJ --> neat
21 0.0  JJ --> early
21 0.0  JJ --> exciting
21 0.0  JJ --> iced
21 0.0  JJ --> rubber
21 0.0  JJ --> stupid
20 0.0  JJ --> messy
20 0.0  JJ --> tough
19 0.0  JJ --> bright
19 0.0  JJ --> cranky
19 0.0  JJ --> grape
19 0.0  JJ --> mean
19 0.0  JJ --> scary
19 0.0  JJ --> third
19 0.0  JJ --> ticklish
18 0.0  JJ --> dressed
18 0.0  JJ --> grey
18 0.0  JJ --> rough
18 0.0  JJ --> ugly
17 0.0  JJ --> bottom
17 0.0  JJ --> clever
17 0.0  JJ --> mashed
17 0.0  JJ --> runny
17 0.0  JJ --> skinny
17 0.0  JJ --> surprised
16 0.0  JJ --> front
16 0.0  JJ --> huge
16 0.0  JJ --> plenty
16 0.0  JJ --> through
16 0.0  JJ --> unhappy
15 0.0  JJ --> cuddly
15 0.0  JJ --> fuzzy
15 0.0  JJ --> sunny
15 0.0  JJ --> top
14 0.0  JJ --> dead
14 0.0  JJ --> extra
14 0.0  JJ --> important
14 0.0  JJ --> lost
14 0.0  JJ --> lovely
14 0.0  JJ --> middle
14 0.0  JJ --> slow
14 0.0  JJ --> sore
14 0.0  JJ --> wild
13 0.0  JJ --> awake
13 0.0  JJ --> clear
13 0.0  JJ --> color
13 0.0  JJ --> comfortable
13 0.0  JJ --> curly
13 0.0  JJ --> deep
13 0.0  JJ --> fancy
13 0.0  JJ --> friendly
13 0.0  JJ --> low
13 0.0  JJ --> over
13 0.0  JJ --> regular
13 0.0  JJ --> scrambled
13 0.0  JJ --> supposed
13 0.0  JJ --> wooden
12 0.0  JJ --> broke
12 0.0  JJ --> curious
12 0.0  JJ --> half
12 0.0  JJ --> handsome
12 0.0  JJ --> kind
12 0.0  JJ --> made
12 0.0  JJ --> married
12 0.0  JJ --> naked
12 0.0  JJ --> perfect
12 0.0  JJ --> rotten
11 0.0  JJ --> lazy
11 0.0  JJ --> nervous
11 0.0  JJ --> noodle
11 0.0  JJ --> rid
11 0.0  JJ --> safe
11 0.0  JJ --> stiff
11 0.0  JJ --> thin
11 0.0  JJ --> wide
11 0.0  JJ --> young
10 0.0  JJ --> alive
10 0.0  JJ --> another
10 0.0  JJ --> couple
10 0.0  JJ --> filthy
10 0.0  JJ --> free
10 0.0  JJ --> italian
10 0.0  JJ --> mine
10 0.0  JJ --> nasty
10 0.0  JJ --> outside
10 0.0  JJ --> plastic
10 0.0  JJ --> shiny
10 0.0  JJ --> stinky
10 0.0  JJ --> teeny
9 0.0  JJ --> amazing
9 0.0  JJ --> colored
9 0.0  JJ --> crowded
9 0.0  JJ --> dizzy
9 0.0  JJ --> french
9 0.0  JJ --> fussy
9 0.0  JJ --> giant
9 0.0  JJ --> greek
9 0.0  JJ --> loose
9 0.0  JJ --> marvelous
9 0.0  JJ --> medium
9 0.0  JJ --> particular
9 0.0  JJ --> plain
9 0.0  JJ --> rainy
9 0.0  JJ --> serious
9 0.0  JJ --> terrific
9 0.0  JJ --> upset
9 0.0  JJ --> weird
8 0.0  JJ --> alike
8 0.0  JJ --> bedtime
8 0.0  JJ --> difficult
8 0.0  JJ --> double
8 0.0  JJ --> far
8 0.0  JJ --> gooey
8 0.0  JJ --> gorgeous
8 0.0  JJ --> greasy
8 0.0  JJ --> grumpy
8 0.0  JJ --> horrible
8 0.0  JJ --> indian
8 0.0  JJ --> itchy
8 0.0  JJ --> mommy
8 0.0  JJ --> muddy
8 0.0  JJ --> single
8 0.0  JJ --> slippery
8 0.0  JJ --> squishy
8 0.0  JJ --> strange
8 0.0  JJ --> stubborn
8 0.0  JJ --> tasty
8 0.0  JJ --> wicked
8 0.0  JJ --> windy
7 0.0  JJ --> chocolate
7 0.0  JJ --> confused
7 0.0  JJ --> fixed
7 0.0  JJ --> gross
7 0.0  JJ --> jelly
7 0.0  JJ --> merry
7 0.0  JJ --> mushy
7 0.0  JJ --> my
7 0.0  JJ --> polar
7 0.0  JJ --> possible
7 0.0  JJ --> related
7 0.0  JJ --> set
7 0.0  JJ --> shaped
7 0.0  JJ --> smooth
7 0.0  JJ --> sour
7 0.0  JJ --> swell
7 0.0  JJ --> well
7 0.0  JJ --> wise
7 0.0  JJ --> your
7 0.0  JJ --> yum
6 0.0  JJ --> backwards
6 0.0  JJ --> barefoot
6 0.0  JJ --> beginning
6 0.0  JJ --> both
6 0.0  JJ --> certain
6 0.0  JJ --> chewy
6 0.0  JJ --> confusing
6 0.0  JJ --> cooked
6 0.0  JJ --> daddy
6 0.0  JJ --> expensive
6 0.0  JJ --> fair
6 0.0  JJ --> fifth
6 0.0  JJ --> frightened
6 0.0  JJ --> frustrated
6 0.0  JJ --> furry
6 0.0  JJ --> grouchy
6 0.0  JJ --> holy
6 0.0  JJ --> homely
6 0.0  JJ --> invisible
6 0.0  JJ --> rich
6 0.0  JJ --> rosy
6 0.0  JJ --> shy
6 0.0  JJ --> spicy
6 0.0  JJ --> square
6 0.0  JJ --> super
6 0.0  JJ --> supercalifragilisticexpialidocious
6 0.0  JJ --> twisted
6 0.0  JJ --> unusual
6 0.0  JJ --> upsidedown
6 0.0  JJ --> very
6 0.0  JJ --> yours
5 0.0  JJ --> apple
5 0.0  JJ --> attached
5 0.0  JJ --> blind
5 0.0  JJ --> boiled
5 0.0  JJ --> brandnew
5 0.0  JJ --> complicated
5 0.0  JJ --> cuckoo
5 0.0  JJ --> disgusting
5 0.0  JJ --> down
5 0.0  JJ --> drunk
5 0.0  JJ --> dumb
5 0.0  JJ --> entire
5 0.0  JJ --> flipflop
5 0.0  JJ --> fluffy
5 0.0  JJ --> flying
5 0.0  JJ --> foolish
5 0.0  JJ --> handy
5 0.0  JJ --> honest
5 0.0  JJ --> icky
5 0.0  JJ --> jealous
5 0.0  JJ --> large
5 0.0  JJ --> lemon
5 0.0  JJ --> live
5 0.0  JJ --> living
5 0.0  JJ --> main
5 0.0  JJ --> mobile
5 0.0  JJ --> nursery
5 0.0  JJ --> oldfashioned
5 0.0  JJ --> pointy
5 0.0  JJ --> proud
5 0.0  JJ --> salty
5 0.0  JJ --> scratchy
5 0.0  JJ --> shallow
5 0.0  JJ --> shut
5 0.0  JJ --> swiss
5 0.0  JJ --> toy
5 0.0  JJ --> weak
5 0.0  JJ --> worried
4 0.0  JJ --> any
4 0.0  JJ --> automatic
4 0.0  JJ --> baking
4 0.0  JJ --> bald
4 0.0  JJ --> bathtime
4 0.0  JJ --> bent
4 0.0  JJ --> brave
4 0.0  JJ --> bumpy
4 0.0  JJ --> burnt
4 0.0  JJ --> byebye
4 0.0  JJ --> called
4 0.0  JJ --> cheap
4 0.0  JJ --> darn
4 0.0  JJ --> determined
4 0.0  JJ --> dotted
4 0.0  JJ --> electric
4 0.0  JJ --> electrical
4 0.0  JJ --> electronic
4 0.0  JJ --> else
4 0.0  JJ --> exhausted
4 0.0  JJ --> fantastic
4 0.0  JJ --> farm
4 0.0  JJ --> finger
4 0.0  JJ --> frozen
4 0.0  JJ --> gingerbread
4 0.0  JJ --> golden
4 0.0  JJ --> goofy
4 0.0  JJ --> gray
4 0.0  JJ --> hi
4 0.0  JJ --> jingle
4 0.0  JJ --> lonely
4 0.0  JJ --> lousy
4 0.0  JJ --> makebelieve
4 0.0  JJ --> mother
4 0.0  JJ --> normal
4 0.0  JJ --> peculiar
4 0.0  JJ --> playful
4 0.0  JJ --> pressed
4 0.0  JJ --> really
4 0.0  JJ --> remote
4 0.0  JJ --> separate
4 0.0  JJ --> seventh
4 0.0  JJ --> several
4 0.0  JJ --> snap
4 0.0  JJ --> sweetie
4 0.0  JJ --> thick
4 0.0  JJ --> tropical
4 0.0  JJ --> used
4 0.0  JJ --> wobbly
4 0.0  JJ --> worth
3 0.0  JJ --> allgone
3 0.0  JJ --> american
3 0.0  JJ --> animal
3 0.0  JJ --> awesome
3 0.0  JJ --> bashful
3 0.0  JJ --> better
3 0.0  JJ --> blonde
3 0.0  JJ --> bloody
3 0.0  JJ --> bored
3 0.0  JJ --> brother
3 0.0  JJ --> buttered
3 0.0  JJ --> church
3 0.0  JJ --> circus
3 0.0  JJ --> collie
3 0.0  JJ --> complete
3 0.0  JJ --> covered
3 0.0  JJ --> crumbly
3 0.0  JJ --> crummy
3 0.0  JJ --> cutest
3 0.0  JJ --> deaf
3 0.0  JJ --> dear
3 0.0  JJ --> delicate
3 0.0  JJ --> dolly
3 0.0  JJ --> fake
3 0.0  JJ --> familiar
3 0.0  JJ --> fellow
3 0.0  JJ --> fourth
3 0.0  JJ --> frustrating
3 0.0  JJ --> ginger
3 0.0  JJ --> grabby
3 0.0  JJ --> gracious
3 0.0  JJ --> healthy
3 0.0  JJ --> hers
3 0.0  JJ --> hidden
3 0.0  JJ --> home
3 0.0  JJ --> huh
3 0.0  JJ --> hysterical
3 0.0  JJ --> impatient
3 0.0  JJ --> impossible
3 0.0  JJ --> in
3 0.0  JJ --> incredible
3 0.0  JJ --> intelligent
3 0.0  JJ --> itsy
3 0.0  JJ --> jolly
3 0.0  JJ --> juicy
3 0.0  JJ --> locked
3 0.0  JJ --> mexican
3 0.0  JJ --> missing
3 0.0  JJ --> natural
3 0.0  JJ --> nosed
3 0.0  JJ --> one
3 0.0  JJ --> ornery
3 0.0  JJ --> patient
3 0.0  JJ --> piggy
3 0.0  JJ --> pleased
3 0.0  JJ --> popsicle
3 0.0  JJ --> quite
3 0.0  JJ --> rambunctious
3 0.0  JJ --> raw
3 0.0  JJ --> roast
3 0.0  JJ --> rocking
3 0.0  JJ --> rolypoly
3 0.0  JJ --> sandy
3 0.0  JJ --> shaving
3 0.0  JJ --> silver
3 0.0  JJ --> similar
3 0.0  JJ --> slimy
3 0.0  JJ --> social
3 0.0  JJ --> soggy
3 0.0  JJ --> specific
3 0.0  JJ --> spinning
3 0.0  JJ --> squeak
3 0.0  JJ --> squirrely
3 0.0  JJ --> station
3 0.0  JJ --> still
3 0.0  JJ --> striped
3 0.0  JJ --> tempting
3 0.0  JJ --> tidy
3 0.0  JJ --> too
3 0.0  JJ --> tow
3 0.0  JJ --> translucent
3 0.0  JJ --> uncomfortable
3 0.0  JJ --> useful
3 0.0  JJ --> vanilla
3 0.0  JJ --> washing
3 0.0  JJ --> wiggly
3 0.0  JJ --> wrinkled
3 0.0  JJ --> yay
3 0.0  JJ --> yucka
3 0.0  JJ --> yummyyum
3 0.0  JJ --> yummyyummy
2 0.0  JJ --> abnormal
2 0.0  JJ --> active
2 0.0  JJ --> adorable
2 0.0  JJ --> anxious
2 0.0  JJ --> armored
2 0.0  JJ --> au_gratinfra
2 0.0  JJ --> baggy
2 0.0  JJ --> balanced
2 0.0  JJ --> ball
2 0.0  JJ --> basic
2 0.0  JJ --> beige
2 0.0  JJ --> bitsy
2 0.0  JJ --> bitty
2 0.0  JJ --> blond
2 0.0  JJ --> boring
2 0.0  JJ --> bouncey
2 0.0  JJ --> boy
2 0.0  JJ --> brilliant
2 0.0  JJ --> brittle
2 0.0  JJ --> bullet
2 0.0  JJ --> carriage
2 0.0  JJ --> choochoo
2 0.0  JJ --> clown
2 0.0  JJ --> coloring
2 0.0  JJ --> company
2 0.0  JJ --> concerned
2 0.0  JJ --> consistent
2 0.0  JJ --> cooking
2 0.0  JJ --> cooperative
2 0.0  JJ --> correct
2 0.0  JJ --> crashed
2 0.0  JJ --> creamy
2 0.0  JJ --> crinkly
2 0.0  JJ --> cross
2 0.0  JJ --> cultured
2 0.0  JJ --> curled
2 0.0  JJ --> curved
2 0.0  JJ --> cutie
2 0.0  JJ --> daily
2 0.0  JJ --> definite
2 0.0  JJ --> dickory
2 0.0  JJ --> dingdong
2 0.0  JJ --> disappointed
2 0.0  JJ --> discouraged
2 0.0  JJ --> dried
2 0.0  JJ --> drippy
2 0.0  JJ --> drooly
2 0.0  JJ --> dutch
2 0.0  JJ --> eighth
2 0.0  JJ --> elegant
2 0.0  JJ --> epileptic
2 0.0  JJ --> exact
2 0.0  JJ --> eyed
2 0.0  JJ --> false
2 0.0  JJ --> fictional
2 0.0  JJ --> fish
2 0.0  JJ --> floppy
2 0.0  JJ --> flower
2 0.0  JJ --> foggy
2 0.0  JJ --> following
2 0.0  JJ --> fried
2 0.0  JJ --> frightening
2 0.0  JJ --> fruit
2 0.0  JJ --> garlic
2 0.0  JJ --> gay
2 0.0  JJ --> gold
2 0.0  JJ --> grand
2 0.0  JJ --> greedy
2 0.0  JJ --> gruesome
2 0.0  JJ --> hassyc
2 0.0  JJ --> haunted
2 0.0  JJ --> helpful
2 0.0  JJ --> hickory
2 0.0  JJ --> higher
2 0.0  JJ --> hotcross
2 0.0  JJ --> hototototototot
2 0.0  JJ --> humid
2 0.0  JJ --> ice
2 0.0  JJ --> icecream
2 0.0  JJ --> innocent
2 0.0  JJ --> itsybitsy
2 0.0  JJ --> lady
2 0.0  JJ --> legged
2 0.0  JJ --> like
2 0.0  JJ --> logical
2 0.0  JJ --> mama
2 0.0  JJ --> mechanical
2 0.0  JJ --> melted
2 0.0  JJ --> mighty
2 0.0  JJ --> minute
2 0.0  JJ --> mixed
2 0.0  JJ --> mixing
2 0.0  JJ --> moist
2 0.0  JJ --> mooshy
2 0.0  JJ --> more
2 0.0  JJ --> moving
2 0.0  JJ --> mucky
2 0.0  JJ --> mutual
2 0.0  JJ --> near
2 0.0  JJ --> necessary
2 0.0  JJ --> ninetieth
2 0.0  JJ --> ninth
2 0.0  JJ --> nuts
2 0.0  JJ --> obedient
2 0.0  JJ --> occupied
2 0.0  JJ --> overcast
2 0.0  JJ --> overhead
2 0.0  JJ --> owie
2 0.0  JJ --> paper
2 0.0  JJ --> part
2 0.0  JJ --> pathetic
2 0.0  JJ --> pet
2 0.0  JJ --> phony
2 0.0  JJ --> police
2 0.0  JJ --> polite
2 0.0  JJ --> polka
2 0.0  JJ --> porcupine
2 0.0  JJ --> positive
2 0.0  JJ --> preppy
2 0.0  JJ --> pretending
2 0.0  JJ --> protective
2 0.0  JJ --> pure
2 0.0  JJ --> pussy
2 0.0  JJ --> realistic
2 0.0  JJ --> rickety
2 0.0  JJ --> roundabout
2 0.0  JJ --> russian
2 0.0  JJ --> rusty
2 0.0  JJ --> saggy
