utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected
UTT_014364,ELI,1;05.10,EXP,da go pusna li ?,"['da', 'go', 'pusna', 'li', '?']","['da', 'go', 'pusna', 'li', '?']","['da', 'go', 'pusna', 'li']",4,Да го пусна ли ?,"['да', 'го', 'пусна', 'ли']",Да го пусна ли ?,Да го пусна ли ?,Да го пусна ли ?
UTT_035632,SIM,2;09.12,SIM,"iskash li da se izpravish, iskash li da se izpravish i da izlezem vytre?","['iskash', 'li', 'da', 'se', 'izpravish', ',', 'iskash', 'li', 'da', 'se', 'izpravish', 'i', 'da', 'izlezem', 'vytr', '?']","['iskash', 'li', 'da', 'se', 'izpravish', ',', 'iskash', 'li', 'da', 'se', 'izpravish', 'i', 'da', 'izlezem', 'vytr', '?']","['iskash', 'li', 'da', 'se', 'izpravish', 'iskash', 'li', 'da', 'se', 'izpravish', 'i', 'da', 'izlezem', 'vytr']",14,"Искаш ли да се изправиш, искаш ли да се изправиш и да излезем вътре?","['искаш', 'ли', 'да', 'се', 'изправиш', 'искаш', 'ли', 'да', 'се', 'изправиш', 'и', 'да', 'излезем', 'вътре']","Искаш ли да се изправиш , искаш ли да се изправиш и да излезем вътре ?","Искаш ли да се изправиш , искаш ли да се изправиш и да излезем вътре ?","Искаш ли да се изправиш , искаш ли да се изправиш и да излезем вътре ?"
UTT_043201,TEF,2;03.24,TEF,"babo, toi go [: otvori go] !","['babo', ',', 'toi', 'otvori', 'go', '!']","['babo', ',', 'toi', 'otvori', 'go', '!']","['babo', 'toi', 'otvori', 'go']",4,"Бабо, тои го [: отвори го] !","['бабо', 'тои', 'го', 'отвори', 'го']","Бабо , тои го !","Бабо , отвори го !","Бабо , отвори го !"
UTT_032544,SIM,2;05.29,PLA,"bravo, mamo.","['bravo', ',', 'mamo', '.']","['bravo', ',', 'mamo', '.']","['bravo', 'mamo']",2,"Браво, мамо.","['браво', 'мамо']","Браво , мамо .","Браво , мамо .","Браво , мамо ."
UTT_024357,SIM,1;08.22,SIM,gluata [: glavata] .,"['glavata', '.']","['glavata', '.']",['glavata'],1,Глуата [: главата] .,"['глуата', 'главата']",Глуата .,главата .,главата .
UTT_035209,SIM,2;08.19,PLA,trjabva da ti pomaga.,"['trjabva', 'da', 'ti', 'pomaga', '.']","['trjabva', 'da', 'ti', 'pomaga', '.']","['trjabva', 'da', 'ti', 'pomaga']",4,Трябва да ти помага.,"['трябва', 'да', 'ти', 'помага']",Трябва да ти помага .,Трябва да ти помага .,Трябва да ти помага .
UTT_008717,BOG,2;01.13,IRE,ajde pej de !,"['ajde', 'pej', 'de', '!']","['ajde', 'pej', 'de', '!']","['ajde', 'pej', 'de']",3,Айде пей де !,"['айде', 'пей', 'де']",Айде пей де !,Айде пей де !,Айде пей де !
UTT_003071,ALE,1;08.22,VEL,++ na vranata i na Zajo Bajo .,"['na', 'vranata', 'i', 'na', 'Zajo', 'Bajo', '.']","['na', 'vranata', 'i', 'na', 'zajo', 'bajo', '.']","['na', 'vranata', 'i', 'na', 'zajo', 'bajo']",6,++ на враната и на зайо байо .,"['на', 'враната', 'и', 'на', 'зайо', 'байо']",на враната и на зайо байо .,на враната и на зайо байо .,на враната и на зайо байо .
UTT_001231,ALE,1;05.08,VEL,koe momichence ?,"['koe', 'momichence', '?']","['koe', 'momichence', '?']","['koe', 'momichence']",2,Кое момиченце ?,"['кое', 'момиченце']",Кое момиченце ?,Кое момиченце ?,Кое момиченце ?
UTT_033198,SIM,2;06.09,SIM,samo morkovi.,"['samo', 'morkovi', '.']","['samo', 'morkovi', '.']","['samo', 'morkovi']",2,Само моркови.,"['само', 'моркови']",Само моркови .,Само моркови .,Само моркови .
UTT_003413,ALE,1;08.22,ALE,ne si [: e] .,"['ne', 'e', '.']","['ne', 'e', '.']","['ne', 'e']",2,Не си [: е] .,"['не', 'си', 'е']",Не си .,Не е .,Не е .
UTT_034278,SIM,2;07.19,SIM,zashto veche ne stava?,"['zashto', 'veche', 'ne', 'stav', '?']","['zashto', 'veche', 'ne', 'stav', '?']","['zashto', 'veche', 'ne', 'stav']",4,Защо вече не става?,"['защо', 'вече', 'не', 'става']",Защо вече не става ?,Защо вече не става ?,Защо вече не става ?
UTT_020179,SIM,1;05.02,SIM,kaj [: kravi] .,"['kravi', '.']","['kravi', '.']",['kravi'],1,Кай [: крави] .,"['кай', 'крави']",Кай .,крави .,Крави .
UTT_019476,SIM,1;04.14,SIM,"cete [: cvete], cete [: cvete], cete [: cvete] .","['cvete', ',', 'cvete', ',', 'cvete', '.']","['cvete', ',', 'cvete', ',', 'cvete', '.']","['cvete', 'cvete', 'cvete']",3,"Цете [: цвете], цете [: цвете], цете [: цвете] .","['цете', 'цвете', 'цете', 'цвете', 'цете', 'цвете']","Цете , цете , цете .",цвете цвете цвете .,"Цвете , цвете , цвете ."
UTT_007270,ALE,2;04.09,ALE,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_039988,TEF,2;00.09,VEL,pak iskam bonka !,"['pak', 'iskam', 'bonka', '!']","['pak', 'iskam', 'bonka', '!']","['pak', 'iskam', 'bonka']",3,Пак искам бонка !,"['пак', 'искам', 'бонка']",Пак искам бонка !,Пак искам бонка !,Пак искам бонка !
UTT_039151,TEF,1;11.25,VEL,techeto pravi bebe .,"['techeto', 'pravi', 'bebe', '.']","['techeto', 'pravi', 'bebe', '.']","['techeto', 'pravi', 'bebe']",3,Течето прави бебе .,"['течето', 'прави', 'бебе']",Течето прави бебе .,Течето прави бебе .,Течето прави бебе .
UTT_032743,SIM,2;06.00,SIM,s tvojata kola li?,"['s', 'tvojata', 'kola', 'l', '?']","['s', 'tvojata', 'kola', 'l', '?']","['s', 'tvojata', 'kola', 'l']",4,С твоята кола ли?,"['с', 'твоята', 'кола', 'ли']",С твоята кола ли ?,С твоята кола ли ?,С твоята кола ли ?
UTT_016048,ELI,1;06.17,EXP,veche e .,"['veche', 'e', '.']","['veche', 'e', '.']","['veche', 'e']",2,Вече е .,"['вече', 'е']",Вече е .,Вече е .,Вече е .
UTT_019384,SIM,1;04.14,SIM,pun [: sapun] !,"['sapun', '!']","['sapun', '!']",['sapun'],1,Пун [: сапун] !,"['пун', 'сапун']",Пун !,сапун !,Сапун !
UTT_043424,TEF,2;03.24,VEL,"ajde sega da izlizame, che taksito idva .","['ajde', 'sega', 'da', 'izlizame', ',', 'che', 'taksito', 'idva', '.']","['ajde', 'sega', 'da', 'izlizame', ',', 'che', 'taksito', 'idva', '.']","['ajde', 'sega', 'da', 'izlizame', 'che', 'taksito', 'idva']",7,"Айде сега да излизаме, че таксито идва .","['айде', 'сега', 'да', 'излизаме', 'че', 'таксито', 'идва']","Айде сега да излизаме , че таксито идва .","Айде сега да излизаме , че таксито идва .","Айде сега да излизаме , че таксито идва ."
UTT_041280,TEF,2;01.16,TEF,"dete, dete [: dvete] !","['dete', ',', 'dvete', '!']","['dete', ',', 'dvete', '!']","['dete', 'dvete']",2,"Дете, дете [: двете] !","['дете', 'дете', 'двете']","Дете , дете !","Дете , двете !","Двете , двете !"
UTT_014625,ELI,1;05.18,EXP,"ne slushash li, mamo .","['ne', 'slushash', 'li', ',', 'mamo', '.']","['ne', 'slushash', 'li', ',', 'mamo', '.']","['ne', 'slushash', 'li', 'mamo']",4,"Не слушаш ли, мамо .","['не', 'слушаш', 'ли', 'мамо']","Не слушаш ли , мамо .","Не слушаш ли , мамо .","Не слушаш ли , мамо ."
UTT_029411,SIM,2;01.10,PLA,dobre.,"['dobre', '.']","['dobre', '.']",['dobre'],1,Добре.,['добре'],Добре .,Добре .,Добре .
UTT_017794,ELI,1;07.08,ELI,tati .,"['tati', '.']","['tati', '.']",['tati'],1,Тати .,['тати'],Тати .,Тати .,Тати .
UTT_021668,SIM,1;06.19,PLA,kakvo ima na tazi topka ?,"['kakvo', 'ima', 'na', 'tazi', 'topka', '?']","['kakvo', 'ima', 'na', 'tazi', 'topka', '?']","['kakvo', 'ima', 'na', 'tazi', 'topka']",5,Какво има на тази топка ?,"['какво', 'има', 'на', 'тази', 'топка']",Какво има на тази топка ?,Какво има на тази топка ?,Какво има на тази топка ?
UTT_024575,SIM,1;08.26,PLA,"da, mamo .","['da', ',', 'mamo', '.']","['da', ',', 'mamo', '.']","['da', 'mamo']",2,"Да, мамо .","['да', 'мамо']","Да , мамо .","Да , мамо .","Да , мамо ."
UTT_016588,ELI,1;06.21,EXP,bjagaj .,"['bjagaj', '.']","['bjagaj', '.']",['bjagaj'],1,Бягай .,['бягай'],Бягай .,Бягай .,Бягай .
UTT_023607,SIM,1;08.07,SIM,"cuni [: celuni], mmua !","['celuni', ',', 'mmua', '!']","['celuni', ',', 'mmua', '!']","['celuni', 'mmua']",2,"Цуни [: целуни], ммуа !","['цуни', 'целуни', 'ммуа']","Цуни , ммуа !",целуни ммуа !,Целуни ммуа !
UTT_013567,ELI,1;03.10,BOR,ja go pokazhi +/.,"['ja', 'go', 'pokazhi', '/.']","['ja', 'go', 'pokazhi', '/.']","['ja', 'go', 'pokazhi', '/.']",4,Я го покажи +/.,"['я', 'го', 'покажи']",Я го покажи .,Я го покажи .,Я го покажи .
UTT_020001,SIM,1;04.25,PLA,Moni da ne skochi ?,"['Moni', 'da', 'ne', 'skochi', '?']","['moni', 'da', 'ne', 'skochi', '?']","['moni', 'da', 'ne', 'skochi']",4,Мони да не скочи ?,"['мони', 'да', 'не', 'скочи']",Мони да не скочи ?,Мони да не скочи ?,Мони да не скочи ?
UTT_003254,ALE,1;08.22,VEL,legni !,"['legni', '!']","['legni', '!']",['legni'],1,Легни !,['легни'],Легни !,Легни !,Легни !
UTT_018070,ELI,1;07.08,BOR,xajde podavaj mi .,"['xajde', 'podavaj', 'mi', '.']","['xajde', 'podavaj', 'mi', '.']","['xajde', 'podavaj', 'mi']",3,Xайде подавай ми .,"['xайде', 'подавай', 'ми']",Xайде подавай ми .,Xайде подавай ми .,Xайде подавай ми .
UTT_023973,SIM,1;08.13,SIM,Moni nosi .,"['Moni', 'nosi', '.']","['moni', 'nosi', '.']","['moni', 'nosi']",2,Мони носи .,"['мони', 'носи']",Мони носи .,Мони носи .,Мони носи .
UTT_002094,ALE,1;06.21,VEL,kyde e Mimito ?,"['kyde', 'e', 'Mimito', '?']","['kyde', 'e', 'mimito', '?']","['kyde', 'e', 'mimito']",3,Къде е мимито ?,"['къде', 'е', 'мимито']",Къде е мимито ?,Къде е мимито ?,Къде е мимито ?
UTT_006088,ALE,2;02.24,ALE,Sega shi si legneme tuka .,"['Sega', 'shi', 'si', 'legneme', 'tuka', '.']","['sega', 'shi', 'si', 'legneme', 'tuka', '.']","['sega', 'shi', 'si', 'legneme', 'tuka']",5,Сега ши си легнеме тука .,"['сега', 'ши', 'си', 'легнеме', 'тука']",Сега ши си легнеме тука .,Сега ши си легнеме тука .,Сега ши си легнеме тука .
UTT_039670,TEF,2;00.09,VEL,jabylka ?,"['jabylka', '?']","['jabylka', '?']",['jabylka'],1,Ябълка ?,['ябълка'],Ябълка ?,Ябълка ?,Ябълка ?
UTT_021931,SIM,1;06.27,SIM,pazh [: plazh] .,"['plazh', '.']","['plazh', '.']",['plazh'],1,Паж [: плаж] .,"['паж', 'плаж']",Паж .,плаж .,Плаж .
UTT_023920,SIM,1;08.13,SIM,"bymchi [: brymchi], bymchi [: brymchi] .","['brymchi', ',', 'brymchi', '.']","['brymchi', ',', 'brymchi', '.']","['brymchi', 'brymchi']",2,"Бъмчи [: бръмчи], бъмчи [: бръмчи] .","['бъмчи', 'бръмчи', 'бъмчи', 'бръмчи']","Бъмчи , бъмчи .",бръмчи бръмчи .,"Бръмчи , бръмчи ."
UTT_009951,BOG,2;04.05,IRE,na knizhkata ne se risuva !,"['na', 'knizhkata', 'ne', 'se', 'risuva', '!']","['na', 'knizhkata', 'ne', 'se', 'risuva', '!']","['na', 'knizhkata', 'ne', 'se', 'risuva']",5,На книжката не се рисува !,"['на', 'книжката', 'не', 'се', 'рисува']",На книжката не се рисува !,На книжката не се рисува !,На книжката не се рисува !
UTT_034985,SIM,2;08.16,SIM,az imam i az ot takava chasha.,"['az', 'imam', 'i', 'az', 'ot', 'takava', 'chasha', '.']","['az', 'imam', 'i', 'az', 'ot', 'takava', 'chasha', '.']","['az', 'imam', 'i', 'az', 'ot', 'takava', 'chasha']",7,Аз имам и аз от такава чаша.,"['аз', 'имам', 'и', 'аз', 'от', 'такава', 'чаша']",Аз имам и аз от такава чаша .,Аз имам и аз от такава чаша .,Аз имам и аз от такава чаша .
UTT_009734,BOG,2;03.12,IRE,da ne gi li pribiram vytre ?,"['da', 'ne', 'gi', 'li', 'pribiram', 'vytre', '?']","['da', 'ne', 'gi', 'li', 'pribiram', 'vytre', '?']","['da', 'ne', 'gi', 'li', 'pribiram', 'vytre']",6,Да не ги ли прибирам вътре ?,"['да', 'не', 'ги', 'ли', 'прибирам', 'вътре']",Да не ги ли прибирам вътре ?,Да не ги ли прибирам вътре ?,Да не ги ли прибирам вътре ?
UTT_021399,SIM,1;06.06,PLA,vyzglavnichkata li gushkash ti ?,"['vyzglavnichkata', 'li', 'gushkash', 'ti', '?']","['vyzglavnichkata', 'li', 'gushkash', 'ti', '?']","['vyzglavnichkata', 'li', 'gushkash', 'ti']",4,Възглавничката ли гушкаш ти ?,"['възглавничката', 'ли', 'гушкаш', 'ти']",Възглавничката ли гушкаш ти ?,Възглавничката ли гушкаш ти ?,Възглавничката ли гушкаш ти ?
UTT_007226,ALE,2;04.09,ALE,momichence .,"['momichence', '.']","['momichence', '.']",['momichence'],1,Момиченце .,['момиченце'],Момиченце .,Момиченце .,Момиченце .
UTT_022639,SIM,1;07.19,SIM,mishi [: mirishe] .,"['mirishe', '.']","['mirishe', '.']",['mirishe'],1,Миши [: мирише] .,"['миши', 'мирише']",Миши .,мирише .,Мирише .
UTT_039694,TEF,2;00.09,BAB,I poveche njama ?,"['I', 'poveche', 'njama', '?']","['i', 'poveche', 'njama', '?']","['i', 'poveche', 'njama']",3,И повече няма ?,"['и', 'повече', 'няма']",И повече няма ?,И повече няма ?,И повече няма ?
UTT_007181,ALE,2;04.09,STE,a tova ?,"['a', 'tova', '?']","['a', 'tova', '?']","['a', 'tova']",2,А това ?,"['а', 'това']",А това ?,А това ?,А това ?
UTT_043441,TEF,2;04.21,TEF,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_038911,TEF,1;11.25,TEF,daj mi !,"['daj', 'mi', '!']","['daj', 'mi', '!']","['daj', 'mi']",2,Дай ми !,"['дай', 'ми']",Дай ми !,Дай ми !,Дай ми !
UTT_015575,ELI,1;06.09,EXP,"nali e paljache, mamo ?","['nali', 'e', 'paljache', ',', 'mamo', '?']","['nali', 'e', 'paljache', ',', 'mamo', '?']","['nali', 'e', 'paljache', 'mamo']",4,"Нали е паляче, мамо ?","['нали', 'е', 'паляче', 'мамо']","Нали е паляче , мамо ?","Нали е паляче , мамо ?","Нали е паляче , мамо ?"
UTT_015907,ELI,1;06.09,EXP,bravo .,"['bravo', '.']","['bravo', '.']",['bravo'],1,Браво .,['браво'],Браво .,Браво .,Браво .
UTT_016327,ELI,1;06.17,BOR,nedej .,"['nedej', '.']","['nedej', '.']",['nedej'],1,Недей .,['недей'],Недей .,Недей .,Недей .
UTT_003060,ALE,1;08.22,VEL,skri gi dolu ?,"['skri', 'gi', 'dolu', '?']","['skri', 'gi', 'dolu', '?']","['skri', 'gi', 'dolu']",3,Скри ги долу ?,"['скри', 'ги', 'долу']",Скри ги долу ?,Скри ги долу ?,Скри ги долу ?
UTT_007335,ALE,2;04.09,ALE,kakaval .,"['kakaval', '.']","['kakaval', '.']",['kakaval'],1,Какавал .,['какавал'],Какавал .,Какавал .,Какавал .
UTT_024945,SIM,1;09.03,PLA,ti kakvo shte narisuvash ?,"['ti', 'kakvo', 'shte', 'narisuvash', '?']","['ti', 'kakvo', 'shte', 'narisuvash', '?']","['ti', 'kakvo', 'shte', 'narisuvash']",4,Ти какво ще нарисуваш ?,"['ти', 'какво', 'ще', 'нарисуваш']",Ти какво ще нарисуваш ?,Ти какво ще нарисуваш ?,Ти какво ще нарисуваш ?
UTT_025734,SIM,1;09.17,SIM,Milkata .,"['Milkata', '.']","['milkata', '.']",['milkata'],1,Милката .,['милката'],Милката .,Милката .,Милката .
UTT_035678,SIM,2;09.12,PLA,ne.,"['ne', '.']","['ne', '.']",['ne'],1,Не.,['не'],Не .,Не .,Не .
UTT_022173,SIM,1;07.08,SIM,auu !,"['auu', '!']","['auu', '!']",['auu'],1,Ауу !,['ауу'],Ауу !,Ауу !,Ауу !
UTT_006409,ALE,2;03.12,ALE,njama stashno [: strashno] !,"['njama', 'strashno', '!']","['njama', 'strashno', '!']","['njama', 'strashno']",2,Няма сташно [: страшно] !,"['няма', 'сташно', 'страшно']",Няма сташно !,Няма страшно !,Няма страшно !
UTT_014550,ELI,1;05.18,EXP,papkash .,"['papkash', '.']","['papkash', '.']",['papkash'],1,Папкаш .,['папкаш'],Папкаш .,Папкаш .,Папкаш .
UTT_007605,ALE,2;04.09,VEL,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_027372,SIM,1;10.17,PLA,tozi koj e ?,"['tozi', 'koj', 'e', '?']","['tozi', 'koj', 'e', '?']","['tozi', 'koj', 'e']",3,Този кой е ?,"['този', 'кой', 'е']",Този кой е ?,Този кой е ?,Този кой е ?
UTT_036141,SIM,2;10.03,PLA,"ne, Kalojanche, ne iskam.","['ne', ',', 'Kalojanche', ',', 'ne', 'iskam', '.']","['ne', ',', 'kalojanche', ',', 'ne', 'iskam', '.']","['ne', 'kalojanche', 'ne', 'iskam']",4,"Не, калоянче, не искам.","['не', 'калоянче', 'не', 'искам']","Не , калоянче , не искам .","Не , калоянче , не искам .","Не , калоянче , не искам ."
UTT_030956,SIM,2;03.14,SIM,"pusni me, KaloJancho.","['pusni', 'me', ',', 'KaloJancho', '.']","['pusni', 'me', ',', 'kalojancho', '.']","['pusni', 'me', 'kalojancho']",3,"Пусни ме, калоянчо.","['пусни', 'ме', 'калоянчо']","Пусни ме , калоянчо .","Пусни ме , калоянчо .","Пусни ме , калоянчо ."
UTT_004231,ALE,1;10.12,ALE,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_027508,SIM,1;10.23,SIM,"a moga [: ne moga] tvoja, tvoja, tvoja .","['a', 'ne', 'moga', 'tvoja', ',', 'tvoja', ',', 'tvoja', '.']","['a', 'ne', 'moga', 'tvoja', ',', 'tvoja', ',', 'tvoja', '.']","['a', 'ne', 'moga', 'tvoja', 'tvoja', 'tvoja']",6,"А мога [: не мога] твоя, твоя, твоя .","['а', 'мога', 'не', 'мога', 'твоя', 'твоя', 'твоя']","А мога твоя , твоя , твоя .","не мога твоя , твоя , твоя .","Не мога твоя , твоя , твоя ."
UTT_043125,TEF,2;03.24,TEF,az nema ti imash dugo [: drugo] detence .,"['az', 'nema', 'ti', 'imash', 'drugo', 'detence', '.']","['az', 'nema', 'ti', 'imash', 'drugo', 'detence', '.']","['az', 'nema', 'ti', 'imash', 'drugo', 'detence']",6,Аз нема ти имаш дуго [: друго] детенце .,"['аз', 'нема', 'ти', 'имаш', 'дуго', 'друго', 'детенце']",Аз нема ти имаш дуго детенце .,Аз нема ти имаш друго детенце .,Аз нема ти имаш друго детенце .
UTT_011313,ELI,1;02.08,EXP,ne mozhe da se slozhi .,"['ne', 'mozhe', 'da', 'se', 'slozhi', '.']","['ne', 'mozhe', 'da', 'se', 'slozhi', '.']","['ne', 'mozhe', 'da', 'se', 'slozhi']",5,Не може да се сложи .,"['не', 'може', 'да', 'се', 'сложи']",Не може да се сложи .,Не може да се сложи .,Не може да се сложи .
UTT_026721,SIM,1;10.03,PLA,"ostavi go, mami, njama ti nishto na kracheto .","['ostavi', 'go', ',', 'mami', ',', 'njama', 'ti', 'nishto', 'na', 'kracheto', '.']","['ostavi', 'go', ',', 'mami', ',', 'njama', 'ti', 'nishto', 'na', 'kracheto', '.']","['ostavi', 'go', 'mami', 'njama', 'ti', 'nishto', 'na', 'kracheto']",8,"Остави го, мами, няма ти нищо на крачето .","['остави', 'го', 'мами', 'няма', 'ти', 'нищо', 'на', 'крачето']","Остави го , мами , няма ти нищо на крачето .","Остави го , мами , няма ти нищо на крачето .","Остави го , мами , няма ти нищо на крачето ."
UTT_028371,SIM,1;11.18,SIM,bebcho chorapi e .,"['bebcho', 'chorapi', 'e', '.']","['bebcho', 'chorapi', 'e', '.']","['bebcho', 'chorapi', 'e']",3,Бебчо чорапи е .,"['бебчо', 'чорапи', 'е']",Бебчо чорапи е .,Бебчо чорапи е .,Бебчо чорапи е .
UTT_000958,ALE,1;05.08,VEL,shtip !,"['shtip', '!']","['shtip', '!']",['shtip'],1,Щип !,['щип'],Щип !,Щип !,Щип !
UTT_038681,TEF,1;11.04,BAB,da pravim komin ?,"['da', 'pravim', 'komin', '?']","['da', 'pravim', 'komin', '?']","['da', 'pravim', 'komin']",3,Да правим комин ?,"['да', 'правим', 'комин']",Да правим комин ?,Да правим комин ?,Да правим комин ?
UTT_008595,BOG,2;01.13,IRE,oshte edin buxal .,"['oshte', 'edin', 'buxal', '.']","['oshte', 'edin', 'buxal', '.']","['oshte', 'edin', 'buxal']",3,Още един буxал .,"['още', 'един', 'буxал']",Още един буxал .,Още един буxал .,Още един буxал .
UTT_019993,SIM,1;04.25,PLA,xrana .,"['xrana', '.']","['xrana', '.']",['xrana'],1,Xрана .,['xрана'],Xрана .,Xрана .,Xрана .
UTT_016306,ELI,1;06.17,EXP,elate .,"['elate', '.']","['elate', '.']",['elate'],1,Елате .,['елате'],Елате .,Елате .,Елате .
UTT_043914,TEF,2;04.21,BAB,"ne, ti imash sok .","['ne', ',', 'ti', 'imash', 'sok', '.']","['ne', ',', 'ti', 'imash', 'sok', '.']","['ne', 'ti', 'imash', 'sok']",4,"Не, ти имаш сок .","['не', 'ти', 'имаш', 'сок']","Не , ти имаш сок .","Не , ти имаш сок .","Не , ти имаш сок ."
UTT_042832,TEF,2;03.24,VEL,vizh topka s kraka !,"['vizh', 'topka', 's', 'kraka', '!']","['vizh', 'topka', 's', 'kraka', '!']","['vizh', 'topka', 's', 'kraka']",4,Виж топка с крака !,"['виж', 'топка', 'с', 'крака']",Виж топка с крака !,Виж топка с крака !,Виж топка с крака !
UTT_033847,SIM,2;06.24,PLA,xvyrljalja.,"['xvyrljalja', '.']","['xvyrljalja', '.']",['xvyrljalja'],1,Xвърляля.,['xвърляля'],Xвърляля .,Xвърляля .,Xвърляля .
UTT_012492,ELI,1;02.26,EXP,"Ami da, taka .","['Ami', 'da', ',', 'taka', '.']","['ami', 'da', ',', 'taka', '.']","['ami', 'da', 'taka']",3,"Ами да, така .","['ами', 'да', 'така']","Ами да , така .","Ами да , така .","Ами да , така ."
UTT_001193,ALE,1;05.08,VEL,kakvo iskash ?,"['kakvo', 'iskash', '?']","['kakvo', 'iskash', '?']","['kakvo', 'iskash']",2,Какво искаш ?,"['какво', 'искаш']",Какво искаш ?,Какво искаш ?,Какво искаш ?
UTT_014611,ELI,1;05.18,EXP,kakvo ima bebeto ?,"['kakvo', 'ima', 'bebeto', '?']","['kakvo', 'ima', 'bebeto', '?']","['kakvo', 'ima', 'bebeto']",3,Какво има бебето ?,"['какво', 'има', 'бебето']",Какво има бебето ?,Какво има бебето ?,Какво има бебето ?
